BillURL,SessionYr,BillName,BillCat,UKPB_Bill,UKPB_Act,RoyalAssent,RoyalAssentDate,StageName,StageDate,StageNumber,NumberofStages,firststage,firststagedate,StageLink
http://services.parliament.uk//bills/2010-12/adoptionleavepayandallowancearrangements.html,2010-12,"Adoption (Leave, Pay and Allowance Arrangements) Bill",PMB-C,Yes,No,No,1st reading: House of Commons,29.06.2011,1,1,Yes,29.06.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110629/debtext/110629-0002.htm#11062965000001
http://services.parliament.uk//bills/2010-12/airportsecuritypeoplewithdisabilities.html,2010-12,Airport Security (People with Disabilities) Bill,PMB-C,Yes,No,No,1st reading: House of Commons,01.02.2012,1,1,Yes,01.02.2012,http://www.publications.parliament.uk/pa/cm201212/cmhansrd/cm120201/debtext/120201-0001.htm#12020160000001
http://services.parliament.uk//bills/2010-12/airportsamendmenthl.html,2010-12,Airports (Amendment) Bill [HL],PMB-L,Yes,No,No,1st reading: House of Lords,07.12.2011,1,2,Yes,07.12.2011,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/111207-0001.htm#11120746000837
http://services.parliament.uk//bills/2010-12/airportsamendmenthl.html,2010-12,Airports (Amendment) Bill [HL],PMB-L,Yes,No,No,2nd reading: House of Lords,16.03.2012,2,2,No,07.12.2011,http://www.publications.parliament.uk/pa/ld201212/ldhansrd/text/120316-0001.htm#12031648000471
http://services.parliament.uk//bills/2010-12/alcoholmarketing.html,2010-12,Alcohol Marketing Bill,PMB-C,Yes,No,No,1st reading: House of Commons,30.03.2011,1,1,Yes,30.03.2011,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm110330/debtext/110330-0002.htm#11033062000001
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,PB,No,No,Yes,1st reading: House of Lords,25.01.2010,1,11,Yes,25.01.2010,http://www.publications.parliament.uk/pa/ld200910/minutes/100126/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,PB,No,No,Yes,2nd reading: House of Lords,09.02.2010,2,11,No,25.01.2010,http://www.publications.parliament.uk/pa/ld200910/minutes/100210/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,PB,No,No,Yes,Transcript of Lords UBC - day 1 (of 1): House of Lords,08.03.2010,3,11,No,25.01.2010,http://www.publications.parliament.uk/pa/ld200910/ldprbill/allhall/ubc0803.htm
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,PB,No,No,Yes,3rd reading: House of Lords,18.03.2010,4,11,No,25.01.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100318-0003.htm#10031838000668
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,PB,No,No,Yes,1st reading: House of Commons,18.03.2010,5,11,No,25.01.2010,http://www.parliament.the-stationery-office.co.uk/pa/cm200910/cmvote/100318v01.htm
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,PB,No,No,Yes,2nd reading: House of Commons,30.03.2010,6,11,No,25.01.2010,http://www.publications.parliament.uk/pa/cm200910/cmhansrd/cm100330/debtext/100330-0001.htm#10033052000017
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,PB,No,No,Yes,Bill reintroduced: House of Commons,28.06.2010,7,11,No,25.01.2010,http://www.publications.parliament.uk/pa/cm201011/cmvote/100628v01.htm
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,PB,No,No,Yes,Bill reintroduced: House of Lords,28.06.2010,8,11,No,25.01.2010,http://www.publications.parliament.uk/pa/ld201011/minutes/100629/ldordpap.htm#minproc
http://services.parliament.uk//bills/2010-12/allhallowsstainingchurchhl.html,2010-12,Allhallows Staining Church Act,PB,No,No,Yes,Transcript of the Commons Unopposed Bill Committee - Day 1 of 1: House of Commons,21.07.2010,9,11,No,25.01.2010,http://www.publications.parliament.uk/pa/cm200910/cmprbill/allhall/020/allhallcorrevid.pdf
