BillURL,SessionYr,BillName,BillCat,StageName,StageDate,StageLink
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,1st reading: House of Lords,25.01.2010,http://www.publications.parliament.uk/pa/ld200910/minutes/100126/ldordpap.htm#minproc
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,2nd reading: House of Lords,09.02.2010,http://www.publications.parliament.uk/pa/ld200910/minutes/100210/ldordpap.htm#minproc
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,Transcript of Lords UBC - day 1 (of 1): House of Lords,08.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldprbill/allhall/ubc0803.htm
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,3rd reading: House of Lords,18.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100318-0003.htm#10031838000668
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,1st reading: House of Commons,18.03.2010,http://www.parliament.the-stationery-office.co.uk/pa/cm200910/cmvote/100318v01.htm
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,2nd reading: House of Commons,30.03.2010,http://www.publications.parliament.uk/pa/cm200910/cmhansrd/cm100330/debtext/100330-0001.htm#10033052000017
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,Bill reintroduced: House of Commons,28.06.2010,http://www.publications.parliament.uk/pa/cm201011/cmvote/100628v01.htm
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,Bill reintroduced: House of Lords,28.06.2010,http://www.publications.parliament.uk/pa/ld201011/minutes/100629/ldordpap.htm#minproc
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,Transcript of the Commons Unopposed Bill Committee - Day 1 of 1: House of Commons,21.07.2010,http://www.publications.parliament.uk/pa/cm200910/cmprbill/allhall/020/allhallcorrevid.pdf
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,3rd reading: House of Commons,26.07.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100726/debtext/100726-0001.htm#10072611000028
http://services.parliament.uk//bills/2009-10/allhallowsstainingchurchhl.html,2009-10,Allhallows Staining Church Act,PB,Royal Assent,27.07.2010,http://www.publications.parliament.uk/pa/ld201011/minutes/100728/ldordpap.htm#minproc
http://services.parliament.uk//bills/2009-10/ambulanceresponsetimeslocalreporting.html,2009-10,Ambulance Response Times (Local Reporting) Bill,PMB-C,1st reading: House of Commons,26.01.2010,http://www.publications.parliament.uk/pa/cm200910/cmhansrd/cm100126/debtext/100126-0004.htm#10012656000001
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,Anti-Slavery Day Act,PMB-C,1st reading: House of Commons,16.12.2009,http://www.publications.parliament.uk/pa/pabills/no_debate.htm
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,Anti-Slavery Day Act,PMB-C,2nd reading: House of Commons,05.02.2010,http://www.publications.parliament.uk/pa/cm200910/cmhansrd/cm100205/debtext/100205-0004.htm#10020534000004
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,Anti-Slavery Day Act,PMB-C,Committee: 1st sitting: House of Commons,05.02.2010,http://www.publications.parliament.uk/pa/cm200910/cmhansrd/cm100205/debtext/100205-0009.htm
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,Anti-Slavery Day Act,PMB-C,3rd reading: House of Commons,05.02.2010,http://www.publications.parliament.uk/pa/cm200910/cmhansrd/cm100205/debtext/100205-0010.htm
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,Anti-Slavery Day Act,PMB-C,1st reading: House of Lords,08.02.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100208-0005.htm#1002084000052
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,Anti-Slavery Day Act,PMB-C,2nd reading: House of Lords,05.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100305-0009.htm#10030531000648
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,Anti-Slavery Day Act,PMB-C,Order of Commitment discharged: House of Lords,22.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100322-0002.htm#1003222000334
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,Anti-Slavery Day Act,PMB-C,3rd reading: House of Lords,29.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100329-0002.htm#1003292000419
http://services.parliament.uk//bills/2009-10/antislaveryday.html,2009-10,Anti-Slavery Day Act,PMB-C,Royal Assent,08.04.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100408-0013.htm#10040856001075
http://services.parliament.uk//bills/2009-10/consolidatedfundappropriation.html,2009-10,Appropriation Act,G,1st reading: House of Commons,10.03.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2009-10/consolidatedfundappropriation.html,2009-10,Appropriation Act,G,2nd reading: House of Commons,11.03.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2009-10/consolidatedfundappropriation.html,2009-10,Appropriation Act,G,3rd reading: House of Commons,11.03.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2009-10/consolidatedfundappropriation.html,2009-10,Appropriation Act,G,1st reading: House of Lords,11.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100311-0010.htm#10031134000683
http://services.parliament.uk//bills/2009-10/consolidatedfundappropriation.html,2009-10,Appropriation Act,G,2nd reading: House of Lords,17.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100317-0002.htm#10031747001047
http://services.parliament.uk//bills/2009-10/consolidatedfundappropriation.html,2009-10,Appropriation Act,G,Committee: 1st sitting: House of Lords,17.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100317-0002.htm#10031747001047
http://services.parliament.uk//bills/2009-10/consolidatedfundappropriation.html,2009-10,Appropriation Act,G,3rd reading: House of Lords,17.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100317-0002.htm#10031747001047
http://services.parliament.uk//bills/2009-10/consolidatedfundappropriation.html,2009-10,Appropriation Act,G,Royal Assent,18.03.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100318-0001.htm#10031838000645
http://services.parliament.uk//bills/2009-10/appropriation.html,2009-10,Appropriation (No. 2) Act,G,1st reading: House of Commons,07.04.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2009-10/appropriation.html,2009-10,Appropriation (No. 2) Act,G,2nd reading: House of Commons,07.04.2010,http://www.publications.parliament.uk/pa/cm200910/cmhansrd/cm100407/debtext/100407-0017.htm
http://services.parliament.uk//bills/2009-10/appropriation.html,2009-10,Appropriation (No. 2) Act,G,3rd reading: House of Commons,07.04.2010,http://www.publications.parliament.uk/pa/cm200910/cmhansrd/cm100407/debtext/100407-0017.htm
http://services.parliament.uk//bills/2009-10/appropriation.html,2009-10,Appropriation (No. 2) Act,G,1st reading: House of Lords,07.04.2010,http://www.publications.parliament.uk/pa/ld200910/ldhansrd/text/100407-0011.htm#10040758000227
