BillURL,SessionYr,BillName,BillCat,UKPB_Bill,UKPB_Act,RoyalAssent,RoyalAssentDate,StageName,StageDate,StageNumber,NumberofStages,firststage,firststagedate,StageLink
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,1st reading: House of Lords,26.05.2010,1,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100526-0001.htm#10052618000334
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,2nd reading: House of Lords,07.06.2010,2,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100607-0002.htm#1006077000378
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,Committee: 1st sitting: House of Lords,21.06.2010,3,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100621-0002.htm#1006214000418
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,Committee: 2nd sitting: House of Lords,23.06.2010,4,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100623-0002.htm#10062341000492
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,Committee: 3rd sitting: House of Lords,28.06.2010,5,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100628-0005.htm#1006282000481
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,Report: 1st sitting: House of Lords,06.07.2010,6,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100706-0001.htm#10070629000860
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,Report: 2nd sitting: House of Lords,07.07.2010,7,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100707-0001.htm#10070749000431
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,3rd reading: House of Lords,13.07.2010,8,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/ld201011/ldhansrd/text/100713-0001.htm#10071325001246
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,1st reading: House of Commons,13.07.2010,9,18,1st reading: House of Lords,26.05.2010,http://www.parliament.uk/business/bills-and-legislation/current-bills/bills-before-parliament-no-debate/
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,2nd reading: House of Commons,19.07.2010,10,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100719/debtext/100719-0001.htm#10071915000001
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,Programme motion: House of Commons,19.07.2010,11,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100719/debtext/100719-0004.htm#10072011000003
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,Money resolution: House of Commons,19.07.2010,12,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100719/debtext/100719-0004.htm#10072011000004
http://services.parliament.uk//bills/2010-12/academieshl.html,2010-12,Academies Act,G,Yes,Yes,Yes,27.07.2010,Committee: 1st sitting: House of Commons,21.07.2010,13,18,1st reading: House of Lords,26.05.2010,http://www.publications.parliament.uk/pa/cm201011/cmhansrd/cm100721/debtext/100721-0002.htm#10072126000004
http://services.parliament.uk//bills/2010-12/ac
